Incident_ID,Date,Time,District,City,Latitude,Longitude,Crime_Category,Crime_Type,Crime_Subtype,Description,Victim_Age,Victim_Gender,Suspect_Details,Arrest_Status,Case_Status,Reporting_Agency,Data_Source
INC001,2025-02-01,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",21,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC002,2025-02-02,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",22,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC003,2025-02-03,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",23,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC004,2025-02-04,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",24,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC005,2025-02-05,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",25,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC006,2025-02-06,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",26,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC007,2025-02-07,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",27,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC008,2025-02-08,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",28,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC009,2025-02-09,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",29,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC010,2025-02-10,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",30,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC011,2025-02-11,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",31,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
