mood,city,state,reason,image_url,preferred_activities,activities_reason
spiritual,Badrinath,Uttarakhand,Ancient Char Dham temple amid Himalayan peaks,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Hiking, Photography, Meditation, Temple Visits, Yoga","Famous for spiritual treks to Vasudhara Falls, breathtaking Himalayan photography spots, meditation near sacred shrines, visits to Badrinath Temple, and yoga retreats in the holy atmosphere"
spiritual,Varanasi,Uttar Pradesh,Holy city with ancient temples and spiritual ghats along the Ganges,https://images.unsplash.com/photo-1561361058-c12e04d4fcab,"Boat Rides, Photography, Temple Visits, Meditation, Cultural Performances","Known for sunrise boat rides on the Ganges, photography of spiritual ceremonies, visits to ancient temples including Kashi Vishwanath, meditation by the ghats, and evening Ganga Aarti performances"
spiritual,Amritsar,Punjab,Home to the Golden Temple and spiritual center of Sikhism,https://images.unsplash.com/photo-1588096344356-9b796388b887,"Temple Visits, Photography, Cultural Tours, Volunteering, Culinary Exploration","Offers spiritual visits to Golden Temple, photography of architecture, guided tours of Sikh heritage sites, volunteering opportunities at the langar (community kitchen), and exploration of authentic Punjabi cuisine"
spiritual,Tirupati,Andhra Pradesh,Sacred temple of Lord Venkateshwara atop Tirumala hills,https://images.unsplash.com/photo-1621831714462-bec401aa0dbc,"Temple Visits, Hiking, Meditation, Photography, Volunteering","Features pilgrimages to Venkateshwara Temple, scenic hill treks, peaceful meditation spaces, photography of temple architecture, and seva (service) opportunities at the temple"
spiritual,Rishikesh,Uttarakhand,Yoga capital of the world with numerous ashrams and temples,https://images.unsplash.com/photo-1593181629936-11c609b8db9b,"Yoga, Meditation, Rafting, Hiking, Ashram Stays","World-renowned for yoga retreats and classes, meditation by the Ganges, white water rafting adventures, hiking to waterfalls and caves, and authentic ashram stay experiences"
spiritual,Haridwar,Uttarakhand,Holy city where Ganga enters plains with evening Aarti,https://images.unsplash.com/photo-1592477480562-3e1b57e3b125,"Temple Visits, Meditation, Photography, Yoga, River Bathing","Famous for temples along the Ganges, meditation at Har Ki Pauri, photography of Ganga Aarti ceremonies, yoga in sacred environments, and ritual bathing in the purifying Ganges waters"
spiritual,Puri,Odisha,Famous Jagannath Temple and spiritual beach town,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Temple Visits, Beach Walks, Meditation, Cultural Performances, Photography","Offers visits to the sacred Jagannath Temple, spiritual walks along Puri Beach, meditation spots, traditional Odissi dance performances, and photography of the magnificent temple architecture"
spiritual,Mathura,Uttar Pradesh,Birthplace of Lord Krishna with numerous temples,https://images.unsplash.com/photo-1589308454676-72b58c4953c7,"Temple Visits, Boat Rides, Cultural Performances, Photography, Festival Celebrations","Known for Krishna temple tours, boat rides on the Yamuna, traditional Raslila performances, photography of ancient temples, and vibrant celebrations of Krishna Janmashtami"
spiritual,Dharamshala,Himachal Pradesh,Seat of Dalai Lama and Buddhist spirituality,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Meditation, Hiking, Monastery Visits, Yoga, Cultural Workshops","Famous for guided meditation sessions, hiking in the Himalayan foothills, visits to Tibetan monasteries, mountain yoga retreats, and workshops on Tibetan culture and crafts"
spiritual,Pushkar,Rajasthan,Sacred lake and only Brahma temple with spiritual essence,https://images.unsplash.com/photo-1584552541329-5c8947fdb622,"Temple Visits, Meditation, Camel Safaris, Photography, Market Exploration","Offers visits to the unique Brahma Temple, meditation by the sacred lake, desert camel safaris, photography of ghats and temples, and exploration of vibrant spiritual markets"
spiritual,Madurai,Tamil Nadu,Ancient Meenakshi Temple with rich spiritual heritage,https://images.unsplash.com/photo-1621831714462-bec401aa0dbc,"Temple Visits, Photography, Cultural Tours, Cooking Classes, Textile Shopping","Known for tours of the magnificent Meenakshi Temple, photography of colorful Dravidian architecture, guided cultural heritage walks, South Indian cooking classes, and shopping for traditional Madurai textiles"
spiritual,Dwarka,Gujarat,One of the Char Dhams and Krishna's kingdom,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Temple Visits, Beach Walks, Meditation, Boat Rides, Photography","Features visits to Dwarkadhish Temple, spiritual walks along beaches, meditation spots overlooking the Arabian Sea, boat trips to Bet Dwarka island, and photography of ancient ruins and temples"
spiritual,Rameswaram,Tamil Nadu,Important pilgrimage site with Jyotirlinga temple,https://images.unsplash.com/photo-1590051433770-568b3a3d8fdb,"Temple Visits, Beach Activities, Photography, Bridge Crossing, Ritual Bathing","Famous for the Ramanathaswamy Temple tour, activities at Dhanushkodi Beach, photography of temple corridors, crossing Pamban Bridge, and ritual bathing in the 22 sacred wells"
spiritual,Kedarnath,Uttarakhand,Sacred Shiva temple amid stunning Himalayan peaks,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Trekking, Temple Visits, Meditation, Photography, Helicopter Tours","Offers challenging treks to the temple, spiritual visits to Kedarnath shrine, meditation in pristine Himalayan settings, photography of snow-capped peaks, and scenic helicopter rides for aerial views"
spiritual,Bodh Gaya,Bihar,Place of Buddha's enlightenment with Mahabodhi Temple,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Meditation, Temple Visits, Monastery Tours, Cultural Workshops, Photography","World-renowned for meditation under the Bodhi Tree, visits to Mahabodhi Temple, tours of international Buddhist monasteries, workshops on Buddhist philosophy, and photography of sacred sites"
relaxing,Goa,Goa,Beautiful beaches with serene coastal atmosphere,https://images.unsplash.com/photo-1587922546307-776227941871,"Surfing, Beach Yoga, Fishing, Water Sports, Spa Treatments","Perfect for surfing at Arambol Beach, sunrise yoga sessions on the shore, fishing excursions with locals, thrilling water sports at Baga Beach, and luxurious Ayurvedic spa treatments"
relaxing,Munnar,Kerala,Peaceful tea plantations and misty mountains,https://images.unsplash.com/photo-1593693397690-362cb9666fc2,"Hiking, Tea Tasting, Photography, Bird Watching, Spa Retreats","Known for scenic hikes through tea plantations, tea factory tours and tasting sessions, photography of misty landscapes, bird watching in Eravikulam National Park, and rejuvenating natural spa treatments"
relaxing,Coorg,Karnataka,Coffee plantations and tranquil hills,https://images.unsplash.com/photo-1582036683518-9b7c4155ad06,"Coffee Tours, Hiking, Wildlife Spotting, River Rafting, Fishing","Famous for guided coffee plantation tours, hiking to Abbey Falls, wildlife spotting in Nagarhole National Park, white water rafting in the Barapole River, and fishing in pristine mountain streams"
relaxing,Andaman Islands,Andaman & Nicobar,Pristine beaches and clear waters,https://images.unsplash.com/photo-1590050752117-2384a,"Snorkeling, Scuba Diving, Island Hopping, Beach Camping, Glass Bottom Boat Rides","Offers world-class snorkeling in coral reefs, scuba diving with marine life, boat tours to remote islands, luxury beach camping experiences, and glass bottom boat rides to view underwater treasures"
relaxing,Udaipur,Rajasthan,Lake city with peaceful palaces and gardens,https://images.unsplash.com/photo-1567683014511-0d5b93e97acd,"Boat Rides, Palace Tours, Cultural Performances, Cooking Classes, Spa Treatments","Known for romantic boat rides on Lake Pichola, guided tours of historic palaces, traditional Rajasthani dance performances, authentic cooking classes, and royal spa treatments"
relaxing,Alleppey,Kerala,Serene backwaters and houseboat stays,https://images.unsplash.com/photo-1593693397690-362cb9666fc2,"Houseboat Cruises, Canoeing, Fishing, Ayurvedic Treatments, Village Walks","Famous for overnight houseboat cruises through backwaters, traditional canoe explorations, fishing with locals, authentic Ayurvedic wellness treatments, and guided walks through peaceful villages"
relaxing,Darjeeling,West Bengal,Scenic tea gardens and mountain views,https://images.unsplash.com/photo-1544634076-c7f7cd955ee3,"Tea Tours, Himalayan Railway Rides, Photography, Trekking, Paragliding","Offers guided tea garden tours and tastings, historic toy train rides, photography of Kanchenjunga views, trekking to Tiger Hill, and paragliding adventures with mountain panoramas"
relaxing,Manali,Himachal Pradesh,Peaceful mountain town with river views,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Hiking, Hot Springs, River Rafting, Orchard Tours, Paragliding","Known for scenic hikes to Solang Valley, relaxation in Vashisht hot springs, thrilling rafting on River Beas, guided apple orchard tours, and paragliding with panoramic Himalayan views"
relaxing,Kovalam,Kerala,Tranquil beach resort town,https://images.unsplash.com/photo-1590050752117-2384a,"Beach Yoga, Ayurvedic Treatments, Surfing, Catamaran Rides, Photography","Features morning beach yoga sessions, traditional Ayurvedic wellness centers, surfing lessons for beginners, catamaran rides along the coast, and photography of lighthouse and sunset views"
relaxing,Kasol,Himachal Pradesh,Peaceful hamlet in Parvati Valley,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Trekking, Riverside Camping, Israeli Food Experiences, Hot Springs, Village Tours","Offers serene treks to Kheerganga, camping along the Parvati River, authentic Israeli cuisine experiences, relaxation in natural hot springs, and guided tours of traditional Himachali villages"
relaxing,Mahabaleshwar,Maharashtra,Hill station with peaceful strawberry farms,https://images.unsplash.com/photo-1587922546307-776227941871,"Strawberry Picking, Hiking, Horse Riding, Boating, Birdwatching","Famous for strawberry farm tours and picking, hiking to viewpoints like Arthur's Seat, horse riding through scenic trails, boating on Venna Lake, and birdwatching in the Western Ghats"
relaxing,Lansdowne,Uttarakhand,Quiet cantonment town with pine forests,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Bird Watching, Nature Walks, Photography, Boating, Meditation","Known for bird watching in pine forests, peaceful nature walks, photography of colonial architecture, boating on Bhulla Lake, and meditation in tranquil mountain settings"
relaxing,Varkala,Kerala,Cliff beach with peaceful atmosphere,https://images.unsplash.com/photo-1593693397690-362cb9666fc2,"Cliff Yoga, Ayurvedic Treatments, Swimming, Paragliding, Cooking Classes","Offers yoga sessions on the cliff, traditional Ayurvedic wellness centers, swimming in protected coves, paragliding along the coastline, and Kerala cooking classes"
relaxing,Mount Abu,Rajasthan,Only hill station in Rajasthan with lakes,https://images.unsplash.com/photo-1567683014511-0d5b93e97acd,"Boating, Nature Walks, Sunrise Viewing, Temple Visits, Wildlife Spotting","Features boating on Nakki Lake, scenic walks on nature trails, sunrise viewing at Guru Shikhar, visits to Dilwara Temples, and wildlife spotting in Mount Abu Wildlife Sanctuary"
relaxing,Pondicherry,Puducherry,French colonial town with peaceful beaches,https://images.unsplash.com/photo-1582036683518-9b7c4155ad06,"Cycling Tours, Scuba Diving, Auroville Visits, Yoga, French Cuisine Workshops","Known for cycling through French Quarter, scuba diving at Coral Reef, spiritual visits to Auroville, beach-side yoga sessions, and authentic French and Tamil fusion cooking workshops"
adventurous,Leh,Ladakh,High-altitude desert with motorcycling routes,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Motorcycling, Trekking, Mountain Biking, River Rafting, Monastery Tours","Famous for Royal Enfield motorcycle tours, high-altitude treks like Markha Valley, mountain biking on world's highest roads, white water rafting on Zanskar River, and visits to ancient Buddhist monasteries"
adventurous,Spiti Valley,Himachal Pradesh,Remote valley with challenging terrain,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Trekking, Village Homestays, Fossil Hunting, Photography, Mountain Biking","Offers challenging treks to Chandratal Lake, authentic homestays in remote villages, fossil hunting in prehistoric seabeds, photography of stark landscapes, and extreme mountain biking trails"
adventurous,Auli,Uttarakhand,Skiing destination with adventure sports,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Skiing, Snowboarding, Cable Car Rides, Trekking, Camping","Known for downhill skiing on Asia's longest slopes, snowboarding in winter months, panoramic cable car rides, summer trekking to Valley of Flowers, and camping under Himalayan stars"
adventurous,Gulmarg,Kashmir,Skiing and snowboarding paradise,https://images.unsplash.com/photo-1544634076-c7f7cd955ee3,"Skiing, Snowboarding, Gondola Rides, Sledding, Heli-Skiing","World-famous for powder skiing on pristine slopes, snowboarding parks, rides on one of world's highest gondolas, traditional sledding adventures, and exclusive heli-skiing expeditions"
adventurous,Bir Billing,Himachal Pradesh,Paragliding capital of India,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Paragliding, Trekking, Mountain Biking, Monastery Visits, Camping","Internationally renowned for paragliding competitions, trekking in Dhauladhar ranges, mountain biking through forest trails, visits to Tibetan monasteries, and camping in scenic meadows"
adventurous,Tawang,Arunachal Pradesh,Remote monastery town with snow sports,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Monastery Tours, Trekking, Snow Sports, Lake Visits, Photography","Features tours of Tawang Monastery, trekking to high-altitude lakes, winter snow sports, visits to Pankang Teng Tso Lake, and photography of pristine mountain landscapes"
adventurous,Zanskar,Ladakh,River rafting and trekking destination,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"River Rafting, Chadar Trek, Monastery Tours, Rock Climbing, Photography","Famous for extreme white water rafting, winter Chadar frozen river trek, tours of remote monasteries, rock climbing on natural formations, and photography of untouched valleys"
adventurous,Manali,Himachal Pradesh,Adventure sports hub with skiing,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Paragliding, Skiing, Mountain Biking, Trekking, Zorbing","Offers tandem paragliding at Solang Valley, winter skiing on fresh slopes, mountain biking through forest trails, trekking to Beas Kund, and zorbing adventures on grassy slopes"
adventurous,Rishikesh,Uttarakhand,River rafting and bungee jumping,https://images.unsplash.com/photo-1593181629936-11c609b8db9b,"River Rafting, Bungee Jumping, Cliff Jumping, Trekking, Zip-lining","Known for white water rafting on the Ganges, India's highest bungee jumping platform, cliff jumping at Neer Gaddu, trekking to Neelkanth Mahadev, and flying fox zip-lining adventures"
adventurous,Andaman Islands,Andaman & Nicobar,Scuba diving and water sports,https://images.unsplash.com/photo-1590050752117-2384a,"Scuba Diving, Snorkeling, Sea Walking, Jet Skiing, Night Kayaking","World-class scuba diving at Havelock Island, snorkeling in coral reefs, sea walking on ocean floor, jet skiing at Rajiv Gandhi Water Sports Complex, and bioluminescent night kayaking tours"
adventurous,Munsiyari,Uttarakhand,Trekking paradise with glacier views,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Trekking, Glacier Expeditions, Wildlife Photography, Camping, Bird Watching","Offers challenging treks to Milam Glacier, guided expeditions to Nanda Devi base, wildlife photography in alpine zones, camping under clear mountain skies, and Himalayan bird watching"
adventurous,Valley of Flowers,Uttarakhand,Challenging trek with unique flowers,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Trekking, Flower Photography, Camping, Bird Watching, Botanical Studies","Famous for UNESCO World Heritage treks, rare flower photography during monsoon, camping at Ghangaria, bird watching in alpine meadows, and guided botanical study tours"
adventurous,Dzukou Valley,Nagaland,Remote trekking destination,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Trekking, Camping, Photography, Cultural Tours, Bird Watching","Known for scenic treks through unique terrain, camping amid rolling green hills, photography of seasonal flowers, tours of Angami villages, and bird watching in diverse habitats"
adventurous,Panchgani,Maharashtra,Paragliding and adventure activities,https://images.unsplash.com/photo-1587922546307-776227941871,"Paragliding, Horse Riding, Mountain Biking, Hiking, Go-Karting","Offers paragliding with valley views, horse riding through strawberry fields, mountain biking on plateau trails, hiking to Table Land, and recreational go-karting tracks"
adventurous,Jaisalmer,Rajasthan,Desert camping and dune bashing,https://images.unsplash.com/photo-1584552541329-5c8947fdb622,"Dune Bashing, Camel Safaris, Desert Camping, Parasailing, Fort Exploration","Famous for thrilling dune bashing in SUVs, overnight camel safaris, luxury desert camping under stars, desert parasailing adventures, and exploration of Jaisalmer Fort"
romantic,Udaipur,Rajasthan,Lake Palace and romantic boat rides,https://images.unsplash.com/photo-1567683014511-0d5b93e97acd,"Boat Rides, Palace Tours, Cooking Classes, Puppet Shows, Cultural Performances","Known for sunset boat rides on Lake Pichola, guided tours of the City Palace, couple's cooking classes for Rajasthani cuisine, traditional puppet show performances, and cultural dance shows"
romantic,Darjeeling,West Bengal,Scenic railway and mountain views,https://images.unsplash.com/photo-1544634076-c7f7cd955ee3,"Toy Train Rides, Tea Garden Walks, Sunrise Viewing, Cable Car Rides, Photography","Famous for heritage toy train journeys, romantic walks through tea estates, sunrise viewing at Tiger Hill, panoramic cable car rides, and photography of Kanchenjunga views"
romantic,Srinagar,Kashmir,Dal Lake houseboats and gardens,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Shikara Rides, Houseboat Stays, Garden Visits, Shopping, Photography","Offers intimate shikara boat rides, luxury stays on houseboats, visits to Mughal Gardens, shopping for local crafts, and photography of lake and mountain landscapes"
romantic,Agra,Uttar Pradesh,Taj Mahal and romantic architecture,https://images.unsplash.com/photo-1564507592333-c60657eea523,"Monument Tours, Sunset Viewing, Fine Dining, Photography, Horse Carriage Rides","Home to guided Taj Mahal tours, sunset viewing from Mehtab Bagh, fine dining with monument views, heritage photography opportunities, and traditional tonga (horse carriage) rides"
romantic,Ooty,Tamil Nadu,Scenic railway and flower gardens,https://images.unsplash.com/photo-1590051433770-568b3a3d8fdb,"Toy Train Rides, Botanical Garden Visits, Boating, Tea Factory Tours, Horse Riding","Features heritage Nilgiri Mountain Railway journeys, walks through Government Botanical Gardens, boating on Ooty Lake, guided tea factory tours with tastings, and horse riding through eucalyptus forests"
romantic,Dalhousie,Himachal Pradesh,Colonial charm and mountain views,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Nature Walks, Waterfall Visits, Mall Road Strolls, Photography, Boat Rides","Known for walks through pine-scented paths, visits to Panchpula Waterfall, evening strolls on Mall Road, photography of colonial architecture, and boat rides on Chamera Lake"
