ref,name,country,continent,knownFor,tags,imageUrl
alaska,Alaska,United States,North America,"Alaska is a haven for outdoor enthusiasts and nature lovers.  Visitors can experience glaciers, mountains, and wildlife, making it ideal for hiking, kayaking, and wildlife viewing.  Alaska also offers a unique cultural experience with its rich Native American heritage and frontier spirit.","['Mountain', 'Off-the-beaten-path', 'Wildlife watching']",https://storage.googleapis.com/tripedia-images/destinations/alaska.jpg
amalfi-coast,Amalfi Coast,Italy,Europe,"Experience the breathtaking beauty of the Amalfi Coast, with its dramatic cliffs, colorful villages, and turquoise waters. Indulge in delicious Italian cuisine, explore charming towns like Positano and Amalfi, and soak up the sun on picturesque beaches.","['Beach', 'Romantic', 'Foodie']",https://storage.googleapis.com/tripedia-images/destinations/amalfi-coast.jpg
amazon-rainforest,Amazon Rainforest,Brazil,South America,"Immerse yourself in the biodiversity of the world's largest rainforest. Embark on jungle treks, spot exotic wildlife, and discover indigenous cultures. Take a boat trip down the Amazon River, explore the canopy on a zipline, and experience the unique ecosystem.","['Jungle', 'Wildlife watching', 'Adventure sports']",https://storage.googleapis.com/tripedia-images/destinations/amazon-rainforest.jpg
andes-mountains,The Andes Mountains,South America,South America,"The Andes Mountains, stretching along the western coast of South America, offer diverse landscapes and experiences. Visitors can trek to Machu Picchu in Peru, explore the salt flats of Salar de Uyuni in Bolivia, or visit the glaciers of Patagonia. The Andes also provide opportunities for skiing, mountaineering, and cultural encounters with indigenous communities.","['Mountain', 'Hiking', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/andes-mountains.jpg
angkor-wat,Angkor Wat,Cambodia,Asia,"Angkor Wat, a vast temple complex in Cambodia, is the largest religious monument in the world and a UNESCO World Heritage site. Visitors can explore the intricate carvings, towering spires, and vast courtyards, marveling at the architectural grandeur and rich history of the Khmer Empire.","['Historic', 'Cultural experiences', 'Sightseeing']",https://storage.googleapis.com/tripedia-images/destinations/angkor-wat.jpg
antelope-canyon,Antelope Canyon,United States,North America,"Experience the awe-inspiring beauty of Antelope Canyon, a slot canyon renowned for its flowing sandstone formations and mesmerizing light beams. Embark on guided tours to navigate the narrow passageways and capture stunning photographs. Learn about the Navajo Nation's history and culture, as the canyon is located on their land.","['Off-the-beaten-path', 'Hiking', 'Sightseeing']",https://storage.googleapis.com/tripedia-images/destinations/antelope-canyon.jpg
aruba,Aruba,Aruba,South America,"Indulge in the beauty of Aruba, a Caribbean paradise known for its pristine beaches, turquoise waters, and year-round sunshine.  Relax on the white sands of Eagle Beach, explore the vibrant capital of Oranjestad, and discover hidden coves and natural wonders.  Aruba offers a perfect escape for beach lovers and water sports enthusiasts.","['Beach', 'Island', 'Scuba diving']",https://storage.googleapis.com/tripedia-images/destinations/aruba.jpg
asheville,Asheville,USA,North America,"Asheville, nestled in the Blue Ridge Mountains of North Carolina, is a vibrant city known for its arts scene, craft breweries, and outdoor activities. Visitors can explore the historic Biltmore Estate, hike in the surrounding mountains, sample local beers, and enjoy the city's eclectic shops and restaurants.","['City', 'Hiking', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/asheville.jpg
azores,Azores,Portugal,Europe,"This archipelago in the mid-Atlantic boasts stunning volcanic landscapes, lush green hills, and dramatic coastlines. Hike to crater lakes, soak in natural hot springs, or go whale watching in the surrounding waters. With its relaxed atmosphere and unique culture, the Azores is a perfect destination for nature lovers and adventurers seeking an off-the-beaten-path experience.","['Island', 'Off-the-beaten-path', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/azores.jpg
bali,Bali,Indonesia,Asia,"Discover the cultural heart of Indonesia on the island of Bali. Explore ancient temples, experience vibrant Hindu traditions, and relax on beautiful beaches. Practice yoga and meditation, indulge in spa treatments, and enjoy the island's lush natural beauty.","['Island', 'Cultural experiences', 'Wellness retreats']",https://storage.googleapis.com/tripedia-images/destinations/bali.jpg
banff-national-park,Banff National Park,Canada,North America,"Nestled in the Canadian Rockies, Banff National Park offers stunning mountain scenery, turquoise lakes, and abundant wildlife. Hike to Lake Louise, explore Johnston Canyon, and enjoy outdoor activities year-round.","['Mountain', 'Hiking', 'Wildlife watching']",https://storage.googleapis.com/tripedia-images/destinations/banff-national-park.jpg
