Station,Landmark,crime_type,date_time,day_of_week,time_of_day,is_weekend,is_holiday,weather_condition,crowd_density,nearest_police_station_distance_km,security_personnel_present,cctv_coverage,lighting_condition,area_type,previous_month_similar_crimes,income_level_area,tourist_footfall,business_hours,event_nearby,public_transport_availability,road_type,past_week_incidents,description
Churchgate,Gateway of India,Tourist scam,15-01-2024 14:30,Monday,Afternoon,FALSE,FALSE,Sunny,High,0.5,Yes,High,Good,Tourist,5,High,High,Yes,No,High,Main Road,3,Tourist targeted by fake tour guide
Bandra,Bandstand,Vehicle theft,15-01-2024 02:15,Monday,Night,FALSE,FALSE,Clear,Low,2,No,Low,Poor,Residential,4,High,Low,No,No,Low,Side Street,2,Car stolen from parking area
Andheri,Infinity Mall,Credit card fraud,15-01-2024 16:45,Monday,Evening,FALSE,FALSE,Sunny,High,0.8,Yes,High,Good,Commercial,6,High,High,Yes,No,High,Main Road,4,Multiple fraudulent transactions
Dadar,Shivaji Park,Assault,16-01-2024 19:20,Tuesday,Evening,FALSE,FALSE,Clear,Medium,1.5,Yes,Medium,Medium,Recreation,3,Medium,Medium,Yes,Yes,High,Main Road,2,Fight during evening hours
Lower Parel,Phoenix Mills,Shoplifting,16-01-2024 15:30,Tuesday,Afternoon,FALSE,FALSE,Sunny,High,1,Yes,High,Good,Commercial,8,High,High,Yes,No,High,Main Road,5,Retail theft from clothing store
CSMT,Crawford Market,Counterfeit goods,16-01-2024 12:15,Tuesday,Afternoon,FALSE,FALSE,Sunny,High,0.3,Yes,Medium,Good,Market,7,Medium,High,Yes,No,High,Main Road,4,Fake branded products seized
Borivali,Sanjay Gandhi National Park,Trespassing,17-01-2024 05:30,Wednesday,Morning,FALSE,FALSE,Clear,Low,3,Yes,Low,Poor,Forest,2,Low,Low,No,No,Low,Park Road,1,Unauthorized entry attempt
Kurla,Phoenix Marketcity,Pickpocketing,17-01-2024 18:45,Wednesday,Evening,FALSE,FALSE,Clear,High,1.2,Yes,High,Good,Commercial,5,Medium,High,Yes,No,High,Main Road,3,Wallet stolen in crowd
Vile Parle,Juhu Beach,Drug possession,17-01-2024 23:15,Wednesday,Night,FALSE,FALSE,Clear,Low,2.5,Yes,Low,Poor,Beach,4,High,Medium,No,No,Medium,Beach Road,2,Suspicious activity reported
Mahalakshmi,Racecourse,Gambling,18-01-2024 21:30,Thursday,Night,FALSE,FALSE,Clear,Medium,1.8,Yes,Medium,Medium,Recreation,3,High,Low,No,Yes,Medium,Main Road,1,Illegal betting activity
Marine Lines,Chowpatty Beach,Public nuisance,18-01-2024 20:45,Thursday,Night,FALSE,FALSE,Clear,High,1,Yes,Medium,Medium,Beach,6,Medium,High,No,No,High,Beach Road,4,Drunk and disorderly conduct
Charni Road,Opera House,Jewelry theft,19-01-2024 14:20,Friday,Afternoon,FALSE,FALSE,Sunny,High,0.7,Yes,High,Good,Commercial,2,High,Medium,Yes,No,High,Main Road,1,Attempted robbery at jeweler
Grant Road,Mani Bhavan,Vandalism,19-01-2024 02:15,Friday,Night,FALSE,FALSE,Clear,Low,1.5,No,Medium,Poor,Heritage,1,Medium,Low,No,No,Low,Side Street,1,Property damage reported
